,product_id,product_name,brands,energy,saturated_fats,sugars,eco-score_num,nutri-score_num,nova_score_num,product_additive_count
0,0,Nutella - Ferrero,Ferrero,539.00,10.60,56.30,4.00,5.00,4.00,2.00
1,1,Prince chocolate - Lu,"Lu, Mondelez",467.00,5.60,32.00,3.00,4.00,4.00,6.00
2,2,Coca-Cola,Coca cola,42.00,0.00,10.60,,5.00,4.00,2.00
3,3,Coca-Cola zero,Coca-Cola,0.00,0.00,0.00,,2.00,4.00,5.00
4,4,"Cruesli, pepitas con mezcla de frutos secos - Quaker",Quaker,462.00,2.00,12.00,2.00,1.00,4.00,1.00
5,5,Mantequilla de cacahuete pura - Jardin Bio,Jardin Bio,625.00,9.70,5.10,2.00,2.00,1.00,
6,6,Copos de avena - Bjorg,Bjorg,362.00,1.30,1.70,2.00,1.00,1.00,
7,7,Coca-Cola - Coca-Cola HBC Polska Sp. z o.o.,Coca-Cola HBC Polska Sp. z o.o.,42.00,0.00,10.60,,5.00,4.00,3.00
8,8,Coca-Cola zero azúcar,Coca-Cola,0.00,0.00,0.00,,2.00,4.00,4.00
9,9,TUC Original - LU,"LU, Mondelēz",479.00,1.90,7.10,2.00,4.00,4.00,3.00
10,10,"Muesli de uva, higo y albaricoque - Bjorg",Bjorg,341.00,1.00,14.00,2.00,1.00,3.00,
11,11,Muesli especial 30% frutas y frutos secos - Jordans,Jordans,362.00,2.00,17.20,2.00,1.00,1.00,
12,12,Yogur natural - Danone,Danone,45.00,0.60,5.10,1.00,1.00,3.00,
13,13,Pringles Original,Pringles,534.00,6.60,1.40,2.00,4.00,4.00,2.00
14,14,Excellence 90% cacao - Lindt,Lindt,592.00,30.00,7.00,4.00,4.00,3.00,
15,15,Anacardos - Alesto Selection,"Alesto Selection, Lidl",600.00,9.00,6.50,4.00,2.00,1.00,
16,16,Schokolade - Alpenmilch - Milka,"Milka, Mondelez",539.00,19.00,55.00,4.00,5.00,4.00,2.00
17,17,Biscotes integrales original - Wasa,Wasa,336.00,0.40,1.00,1.00,1.00,3.00,
18,18,Almonddrink - Alpro,Alpro,,0.50,2.80,2.00,2.00,4.00,3.00
19,19,Alpro - Vainilla,Alpro,66.00,0.40,7.50,2.00,1.00,4.00,5.00
20,20,Especialidad vegetal de soja natural con coco - Alpro,Alpro,55.00,1.10,2.30,2.00,2.00,4.00,5.00
21,21,Copos de avena integral - Quaker,Quaker,375.00,1.50,1.10,2.00,1.00,1.00,
22,22,Kinder Bueno,Kinder,572.00,17.30,41.20,4.00,5.00,4.00,4.00
23,23,Almendra de California - Alesto,"Alesto, Lidl, Solent",621.00,4.00,4.80,4.00,1.00,1.00,
24,24,Tomato Ketchup - Heinz,Heinz,102.00,0.10,22.80,1.00,4.00,3.00,
25,25,Corn flakes - Kellogg's,Kellogg's,378.00,0.20,8.00,4.00,2.00,3.00,
26,26,Ketchup ecológico - Heinz,Heinz,112.00,0.10,24.80,2.00,4.00,3.00,
27,27,Nueces sin cáscara - Lidl,"Lidl, Alesto",712.00,6.80,3.00,5.00,1.00,1.00,
28,28,Espaguetis n°5 500g - Barilla,Barilla,359.00,0.50,3.50,1.00,1.00,1.00,
29,29,Muesli superfruits - Bjorg,Bjorg,357.00,1.00,14.00,2.00,1.00,3.00,
30,30,Nesquik - Nestlé,"Nestlé, Nesquik",386.00,1.60,75.10,3.00,2.00,4.00,2.00
31,31,Mix de frutos secos al natural - Alesto,Alesto,646.00,6.40,4.20,4.00,1.00,1.00,
32,32,Ketchup - Heinz,Heinz,102.00,0.10,22.80,1.00,4.00,3.00,
33,33,Coca Cola Regular,Coca-Cola,42.00,0.00,10.60,,5.00,4.00,2.00
34,34,Nesquik cereales - Nestlé,"Nestlé, Nesquik",377.00,1.10,22.40,4.00,1.00,4.00,
35,35,Pan integral especial para sándwich - Maître Jean Pierre,Maître Jean Pierre,264.00,0.40,8.50,1.00,1.00,4.00,
36,36,Céréales - Weetabix®™,Weetabix®™,362.00,0.60,4.20,4.00,1.00,3.00,
37,37,Muesli de avena con chocolate orgánico - Bjorg,Bjorg,397.00,4.20,9.10,2.00,2.00,4.00,1.00
38,38,Leche de almendras tostadas - Alpro,Alpro,26.00,0.10,3.10,2.00,2.00,4.00,3.00
39,39,Cookies con pepitas de chocolate sin azúcares - Gerblé,Gerblé,414.00,3.30,0.00,3.00,1.00,4.00,6.00
40,40,Chocolate negro 85% cacao - J. D. Gross,J. D. Gross,579.00,28.20,12.90,4.00,5.00,4.00,1.00
41,41,"Ricoré, original, café y achicoria - Nestlé","Nestlé, Ricore",141.00,0.10,9.10,5.00,5.00,1.00,
42,42,Copos de avena - Brüggen,Brüggen,375.00,1.30,0.70,1.00,1.00,1.00,
43,43,Avoine sans sucre - Alpro,Alpro,40.00,0.20,0.00,2.00,1.00,4.00,1.00
44,44,Cruesli chocolate negro - QUAKER,QUAKER,455.00,4.90,16.00,4.00,3.00,4.00,4.00
45,45,Penne rigate - Barilla,Barilla,359.00,0.50,3.50,2.00,1.00,1.00,
46,46,Excellence 99% Cacao Noir Absolu - Lindt,Lindt,573.00,30.00,1.00,4.00,5.00,3.00,
47,47,Crispy minis choco - Weetabix,Weetabix,386.00,2.30,17.00,4.00,1.00,4.00,2.00
48,48,Queso crema Philadelphia original - Kraft,Kraft,226.00,14.00,1.30,4.00,4.00,4.00,1.00
49,49,Wraps integrales de trigo - Old El Paso,Old El Paso,293.00,1.10,2.30,2.00,1.00,4.00,5.00
50,50,Dessert végétal mangue - Alpro,Alpro,62.00,0.40,5.60,1.00,1.00,4.00,5.00
